goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       407 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/1-4          	 3000000	       400 ns/op	     304 B/op	      11 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2546 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2752 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2571 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2590 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2592 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2582 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2511 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2661 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2642 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2607 ns/op	    1568 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24638 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24817 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     25531 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     25147 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24802 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     26456 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24885 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     24838 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     25555 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	   50000	     25703 ns/op	   20912 B/op	     709 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    228417 ns/op	  130000 B/op	    7013 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    237026 ns/op	  130000 B/op	    7013 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    223652 ns/op	  130000 B/op	    7013 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    245561 ns/op	  130000 B/op	    7013 allocs/op
