goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2508 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2527 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/10-4         	  500000	      2507 ns/op	    1552 B/op	      75 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     23008 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22916 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22781 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22717 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22853 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22825 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22823 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22727 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22842 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/100-4        	  100000	     22752 ns/op	   15776 B/op	     707 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    217989 ns/op	  129008 B/op	    7013 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    225058 ns/op	  129008 B/op	    7013 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	   10000	    247580 ns/op	  129008 B/op	    7013 allocs/op
BenchmarkMicroserviceDequeStack/1000-4       	    5000	    222940 ns/op	  129008 B/op	    7013 allocs/op
