goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 590986127 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 572053951 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 626190183 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 616207170 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 572967698 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceQueue/1000000-4    	       2	 553351078 ns/op	337859288 B/op	 8862289 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       365 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       367 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       372 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       372 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       364 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       362 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       444 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 3000000	       445 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       365 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/1-4          	 5000000	       358 ns/op	     200 B/op	      11 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2284 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2191 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2123 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2146 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2154 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2144 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2157 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2144 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2178 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/10-4         	 1000000	      2129 ns/op	    1400 B/op	      76 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18434 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18218 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18608 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18247 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18297 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18312 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18476 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18346 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18448 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/100-4        	  100000	     18404 ns/op	   13272 B/op	     709 allocs/op
BenchmarkMicroserviceSliceStack/1000-4       	   10000	    178177 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSliceStack/1000-4       	   10000	    175994 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSliceStack/1000-4       	   10000	    177875 ns/op	  128408 B/op	    7012 allocs/op
BenchmarkMicroserviceSliceStack/1000-4       	   10000	    175986 ns/op	  128408 B/op	    7012 allocs/op
