goos: darwin
goarch: amd64
pkg: github.com/ef-ds/deque
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2668331 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/10000-4      	     500	   2686225 ns/op	 2156736 B/op	   72818 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  31115919 ns/op	21551184 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  30360452 ns/op	21551187 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  31240699 ns/op	21551187 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  30948949 ns/op	21551185 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  30856258 ns/op	21551185 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  31051322 ns/op	21551184 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  30294222 ns/op	21551184 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  30946524 ns/op	21551184 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  31817176 ns/op	21551187 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/100000-4     	      50	  31267225 ns/op	21551185 B/op	  728129 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 352286455 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 337610543 ns/op	215501248 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 345397168 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       5	 335833290 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 335071124 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 337405488 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 334081034 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 344919716 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       3	 348103847 ns/op	215501184 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuQueue/1000000-4    	       5	 326081331 ns/op	215501203 B/op	 7281254 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       604 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       612 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       607 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       605 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       611 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       606 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/1-4          	 2000000	       609 ns/op	    1296 B/op	      11 allocs/op
BenchmarkMicroserviceJujuStack/10-4         	  500000	      2743 ns/op	    2304 B/op	      74 allocs/op
